vehicle,vehicle_label,mot_nrg,mot_nrg_label,geo,geo_label,period,value,flag
LOC,Locomotives,DIE,Diesel,AL,Albania,1993,74,
LOC,Locomotives,DIE,Diesel,AL,Albania,1994,77,
LOC,Locomotives,DIE,Diesel,AL,Albania,1995,77,
LOC,Locomotives,DIE,Diesel,AL,Albania,1996,72,
LOC,Locomotives,DIE,Diesel,AL,Albania,1997,70,
LOC,Locomotives,DIE,Diesel,AL,Albania,1998,68,
LOC,Locomotives,DIE,Diesel,AL,Albania,1999,68,
LOC,Locomotives,DIE,Diesel,AL,Albania,2000,68,
LOC,Locomotives,DIE,Diesel,AL,Albania,2001,68,
LOC,Locomotives,DIE,Diesel,AL,Albania,2002,58,
LOC,Locomotives,DIE,Diesel,AL,Albania,2013,52,
LOC,Locomotives,DIE,Diesel,AL,Albania,2014,52,
LOC,Locomotives,DIE,Diesel,AL,Albania,2015,38,
LOC,Locomotives,DIE,Diesel,AL,Albania,2016,38,
LOC,Locomotives,DIE,Diesel,AL,Albania,2017,38,
LOC,Locomotives,DIE,Diesel,AL,Albania,2018,34,
LOC,Locomotives,DIE,Diesel,AL,Albania,2019,34,
LOC,Locomotives,DIE,Diesel,AL,Albania,2020,21,
LOC,Locomotives,DIE,Diesel,AL,Albania,2021,21,
LOC,Locomotives,DIE,Diesel,AL,Albania,2022,18,
LOC,Locomotives,DIE,Diesel,AL,Albania,2023,18,
LOC,Locomotives,DIE,Diesel,AL,Albania,2024,18,
LOC,Locomotives,DIE,Diesel,AT,Austria,1990,489,
LOC,Locomotives,DIE,Diesel,AT,Austria,1991,498,
LOC,Locomotives,DIE,Diesel,AT,Austria,1992,507,
LOC,Locomotives,DIE,Diesel,AT,Austria,1993,492,
LOC,Locomotives,DIE,Diesel,AT,Austria,1994,548,
LOC,Locomotives,DIE,Diesel,AT,Austria,1995,539,
LOC,Locomotives,DIE,Diesel,AT,Austria,1996,532,
LOC,Locomotives,DIE,Diesel,AT,Austria,1997,530,
LOC,Locomotives,DIE,Diesel,AT,Austria,1998,525,
LOC,Locomotives,DIE,Diesel,AT,Austria,1999,450,
LOC,Locomotives,DIE,Diesel,AT,Austria,2000,490,
LOC,Locomotives,DIE,Diesel,AT,Austria,2001,493,
LOC,Locomotives,DIE,Diesel,AT,Austria,2002,430,
