power,power_label,geo,geo_label,period,value,flag
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1990,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1991,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1992,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1993,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1994,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1995,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1996,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1997,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1998,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,1999,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2000,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2003,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2004,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2005,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2006,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2007,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2008,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2009,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2010,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2011,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2012,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2013,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2014,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2015,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2016,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2017,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2018,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2019,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2020,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2021,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2022,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2023,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AL,Albania,2024,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,1990,3160,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2007,3466,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2008,3161,i
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2009,3573,i
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2010,3498,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2011,3363,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2012,3521,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2013,3483,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2014,3483,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2015,3581,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2016,3543,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2017,3585,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2018,3586,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2019,3609,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2020,3625,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2021,3635,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2022,3647,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2023,3687,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,AT,Austria,2024,3791.281,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1990,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1991,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1992,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1993,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1994,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1995,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1996,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1997,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1998,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,1999,0,
AC15000,Alternating current - 16 2/3 Hz / 15 000 V,BA,Bosnia and Herzegovina,2000,0,
