tra_infr,tra_infr_label,geo,geo_label,period,value,flag
RT_ELC,Electrified railway tracks,AL,Albania,1990,0,
RT_ELC,Electrified railway tracks,AL,Albania,1991,1,
RT_ELC,Electrified railway tracks,AL,Albania,1992,2,
RT_ELC,Electrified railway tracks,AL,Albania,1993,0,
RT_ELC,Electrified railway tracks,AL,Albania,1994,0,
RT_ELC,Electrified railway tracks,AL,Albania,1995,0,
RT_ELC,Electrified railway tracks,AL,Albania,1998,0,
RT_ELC,Electrified railway tracks,AL,Albania,1999,0,
RT_ELC,Electrified railway tracks,AL,Albania,2000,0,
RT_ELC,Electrified railway tracks,AL,Albania,2001,0,
RT_ELC,Electrified railway tracks,AL,Albania,2002,0,
RT_ELC,Electrified railway tracks,AL,Albania,2003,0,
RT_ELC,Electrified railway tracks,AL,Albania,2004,0,
RT_ELC,Electrified railway tracks,AL,Albania,2005,0,
RT_ELC,Electrified railway tracks,AL,Albania,2006,0,
RT_ELC,Electrified railway tracks,AL,Albania,2007,0,
RT_ELC,Electrified railway tracks,AL,Albania,2008,0,
RT_ELC,Electrified railway tracks,AL,Albania,2009,0,
RT_ELC,Electrified railway tracks,AL,Albania,2010,0,
RT_ELC,Electrified railway tracks,AL,Albania,2011,0,
RT_ELC,Electrified railway tracks,AL,Albania,2012,0,
RT_ELC,Electrified railway tracks,AL,Albania,2013,0,
RT_ELC,Electrified railway tracks,AL,Albania,2014,0,
RT_ELC,Electrified railway tracks,AL,Albania,2015,0,
RT_ELC,Electrified railway tracks,AL,Albania,2016,0,
RT_ELC,Electrified railway tracks,AL,Albania,2017,0,
RT_ELC,Electrified railway tracks,AL,Albania,2018,0,
RT_ELC,Electrified railway tracks,AL,Albania,2019,0,
RT_ELC,Electrified railway tracks,AL,Albania,2020,0,
RT_ELC,Electrified railway tracks,AL,Albania,2021,0,
RT_ELC,Electrified railway tracks,AL,Albania,2022,0,
RT_ELC,Electrified railway tracks,AL,Albania,2023,0,
RT_ELC,Electrified railway tracks,AL,Albania,2024,0,
RT_ELC,Electrified railway tracks,AT,Austria,2002,7241,i
RT_ELC,Electrified railway tracks,AT,Austria,2003,7220,i
RT_ELC,Electrified railway tracks,AT,Austria,2004,7419,i
RT_ELC,Electrified railway tracks,AT,Austria,2005,7113,i
RT_ELC,Electrified railway tracks,AT,Austria,2006,7263,i
RT_ELC,Electrified railway tracks,AT,Austria,2009,7612,i
RT_ELC,Electrified railway tracks,AT,Austria,2010,7918,i
RT_ELC,Electrified railway tracks,AT,Austria,2011,7915,i
RT_ELC,Electrified railway tracks,AT,Austria,2012,8036,i
RT_ELC,Electrified railway tracks,AT,Austria,2013,8041,i
RT_ELC,Electrified railway tracks,AT,Austria,2014,8048,i
RT_ELC,Electrified railway tracks,AT,Austria,2015,8066,i
RT_ELC,Electrified railway tracks,AT,Austria,2016,8087,i
RT_ELC,Electrified railway tracks,AT,Austria,2017,8107,i
RT_ELC,Electrified railway tracks,AT,Austria,2018,7756,i
RT_ELC,Electrified railway tracks,AT,Austria,2019,7773,
RT_ELC,Electrified railway tracks,AT,Austria,2020,7773,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2000,803,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2001,803,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2002,803,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2003,803,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2004,771,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2005,771,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2006,771,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2007,771,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2008,771,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2009,771,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2010,905,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2011,906,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2012,906,i
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2013,1091,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2014,1091,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2015,1091,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2016,1025,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2017,1058,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2018,1058,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2019,1058,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2020,1058,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2021,1058,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2022,1058,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2023,1066,
RT_ELC,Electrified railway tracks,BA,Bosnia and Herzegovina,2024,1066,
RT_ELC,Electrified railway tracks,BE,Belgium,1993,4606,
RT_ELC,Electrified railway tracks,BE,Belgium,1994,4606,
RT_ELC,Electrified railway tracks,BE,Belgium,1995,4624,
RT_ELC,Electrified railway tracks,BE,Belgium,1996,4789,
RT_ELC,Electrified railway tracks,BE,Belgium,1997,4855,
RT_ELC,Electrified railway tracks,BE,Belgium,1998,4740,
RT_ELC,Electrified railway tracks,BE,Belgium,1999,4791,
RT_ELC,Electrified railway tracks,BE,Belgium,2000,4987,
RT_ELC,Electrified railway tracks,BE,Belgium,2001,5023,
RT_ELC,Electrified railway tracks,BE,Belgium,2002,5152,
RT_ELC,Electrified railway tracks,BE,Belgium,2003,5161,
RT_ELC,Electrified railway tracks,BE,Belgium,2004,5483,
RT_ELC,Electrified railway tracks,BE,Belgium,2005,5444,
RT_ELC,Electrified railway tracks,BE,Belgium,2006,5462,
RT_ELC,Electrified railway tracks,BE,Belgium,2007,5454,
RT_ELC,Electrified railway tracks,BE,Belgium,2008,5601,
RT_ELC,Electrified railway tracks,BE,Belgium,2009,5661,
RT_ELC,Electrified railway tracks,BE,Belgium,2024,5763,i
RT_ELC,Electrified railway tracks,BG,Bulgaria,1990,3754,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1991,3754,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1992,3762,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1993,3759,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1994,3714,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1995,3727,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1996,3796,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1997,3845,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1998,3842,
RT_ELC,Electrified railway tracks,BG,Bulgaria,1999,3839,
