unit,unit_label,tra_cov,tra_cov_label,geo,geo_label,period,value,flag
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2004,1105,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2005,1147,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2006,1211,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2007,1279,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2008,1452,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2009,1442,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2010,1456,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2011,491,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2012,488,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2013,488,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2014,464,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2015,435,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2016,424,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2017,423,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2018,456,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2019,492,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2020,190,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2021,232,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2022,598,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2023,698,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,AT,Austria,2024,665,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2004,550,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2005,740,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2006,774,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2007,856,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2008,1226,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2009,1232,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2010,1268,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BE,Belgium,2011,1268,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2006,45,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2007,62,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2008,52,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2009,49,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2010,44,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2011,27,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2012,22,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2013,26,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2014,15,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2015,11,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2016,14,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2017,18,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2018,18,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2019,24,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2020,6,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2021,4,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2022,32,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2023,36,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2024,30,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,BG,Bulgaria,2025,32,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2008,912,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2009,879,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2010,998,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2011,997,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2012,1006,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2013,963,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2014,933,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2015,1081,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2016,1037,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2017,1053,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2018,1088,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2019,1189,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2020,487,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2021,565,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2022,1148,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2023,1318,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CH,Switzerland,2024,1249,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2004,368,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2005,381,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2006,358,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2007,362,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2008,449,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2009,340,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2010,296,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2011,261,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2012,402,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2013,709,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2014,700,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2015,913,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2016,1229,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2017,1437,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2018,1705,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2019,1884,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2020,538,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2021,603,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2022,1555,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2023,1716,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,CZ,Czechia,2024,1839,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,DE,Germany,2004,2180,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,DE,Germany,2005,3300,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,DE,Germany,2006,3472,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,DE,Germany,2007,3587,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,DE,Germany,2008,3870,
MIO_PKM,Millions of passenger-kilometres,INTL,International transport,DE,Germany,2009,4162,
