accident,accident_label,geo,geo_label,period,value,flag
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2006,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2007,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2008,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2009,5,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2010,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2011,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2012,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2013,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2014,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2015,7,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2016,7,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2017,7,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2018,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2019,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2020,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2021,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2022,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2023,7,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",AT,Austria,2024,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2006,84,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2007,77,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2008,94,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2009,34,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2010,5,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2012,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2013,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2014,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2016,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2017,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2019,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2020,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2021,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BE,Belgium,2024,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2006,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2007,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2008,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2009,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2010,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2012,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2013,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2014,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2015,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2016,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2017,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2018,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2019,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2020,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2021,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",BG,Bulgaria,2022,2,
