accident,accident_label,victim,victim_label,pers_cat,pers_cat_label,geo,geo_label,period,value,flag
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2006,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2007,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2008,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2009,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2010,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2012,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2013,5,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2015,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2016,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2017,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2018,3,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2019,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2020,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2021,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2022,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2023,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,AT,Austria,2024,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2006,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2007,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2008,4,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2009,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2010,2,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2011,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2012,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2013,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2014,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2015,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2016,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2017,1,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2018,0,
COLLIS,"Collisions of trains, including collisions with obstacles within the clearance gauge",INJ_SRL,Seriously injured,EMP,Employed persons,BE,Belgium,2019,0,
